WARD,Year,Current_Value_Assessment,Municipal_Taxes,Percent_of_Total
1,2022,7180481945,73390393,3.80
1,2023,7267214245,76175204,3.75
1,2024,7399450745,79535714.52,4.00
1,2025,7452705245,82575501,3.75
2,2022,6231858201,64506271,3.34
2,2023,6269030401,66504224,3.27
2,2024,6266299301,68157608.38,3.00
2,2025,6267760401,70156127,3.18
3,2022,7555504154,78925141,4.08
3,2023,8186554354,89847966,4.42
3,2024,8660335763,97257134.96,5.00
3,2025,9024590726,103653095,4.70
4,2022,8042375786,95073922,4.92
4,2023,8281453345,100674860,4.96
4,2024,8467512295,105799253,5.00
4,2025,8637108295,110586627,5.02
5,2022,5023729418,39698721,2.05
5,2023,5149099218,41848481,2.06
5,2024,5253188560,43941049.4,2.00
5,2025,5302692369,45078581,2.04
6,2022,7360689245,77196402,3.99
6,2023,8081436045,86734417,4.27
6,2024,8402849645,92601370.53,4.00
6,2025,8592620154,97873736,4.44
7,2022,7598720825,87121412,4.51
7,2023,7670317425,90814792,4.47
7,2024,7751720814,94110498.53,4.00
7,2025,7746082114,95326858,4.32
8,2022,7993715683,90150946,4.66
8,2023,8029380183,92745516,4.57
8,2024,8060775361,95602426.17,5.00
8,2025,8097657583,98195219,4.45
9,2022,6873744796,82040625,4.24
9,2023,6860386146,83979020,4.13
9,2024,6882573746,86686135.2,4.00
9,2025,6898369984,89015258,4.04
10,2022,6577266566,78988621,4.09
10,2023,6610097475,81538410,4.01
10,2024,6668727675,84849898.73,4.00
10,2025,6673917300,87158437,3.95
11,2022,5448786575,65803011,3.40
11,2023,5490800875,68023631,3.35
11,2024,5460475675,69287187.52,3.00
11,2025,5501271475,71161857,3.23
12,2022,8755183132,107946045,5.58
12,2023,8838984681,111861953,5.51
12,2024,9186803326,118680587,6.00
12,2025,9199587283,121628073,5.52
13,2022,6997696827,78362790,4.05
13,2023,7145774336,82026391,4.04
13,2024,7192868136,84890765.87,4.00
13,2025,7204989436,87145791,3.95
14,2022,12440311073,191653144,9.91
14,2023,12673220472,198629780,9.78
14,2024,12625991742,202552650,10.00
14,2025,13002872226,211665396,9.60
15,2022,8657039787,94251899,4.88
15,2023,8845235688,98468851,4.85
15,2024,8906084305,101844731.3,5.00
15,2025,9203480587,107962973,4.90
16,2022,6695062238,74750096,3.87
16,2023,6794404738,77794332,3.83
16,2024,6950314638,81585133.95,4.00
16,2025,7071563388,84979776,3.85
17,2022,8452855172,91259982,4.72
17,2023,8568017672,94693764,4.66
17,2024,8651850972,98114677.18,5.00
17,2025,8705288472,101337222,4.60
18,2022,7482167976,90144451,4.66
18,2023,7521293471,93484569,4.60
18,2024,7596946271,97184361.71,5.00
18,2025,7629287371,99495580,4.51
19,2022,7913155527,79571897,4.12
19,2023,8181106527,84471284,4.16
19,2024,8368367336,88807781.85,4.00
19,2025,8751586236,95983867,4.35
20,2022,6071802352,47924236,2.48
20,2023,6184960243,50198912,2.47
20,2024,6270346443,52261237.12,2.00
20,2025,6392996709,54697467,2.48
21,2022,5767582900,46078451,2.38
21,2023,6114625400,50347696,2.48
21,2024,6483095600,54982319.88,3.00
21,2025,6800810100,58902003,2.67
22,2022,5544930522,57199219,2.96
22,2023,6084084522,64086253,3.16
22,2024,6480746831,69955047.43,3.00
22,2025,6718365940,74643842,3.39
23,2022,6926074831,74394027,3.85
23,2023,6996917535,77107277,3.80
23,2024,7065921735,80013602.09,4.00
23,2025,7089721435,82690941,3.75
24,2022,6371379200,66596107,3.45
24,2023,6426875800,68916398,3.39
24,2024,6433360300,70858522.65,3.00
24,2025,6427245300,72905476,3.31
